% Service logfile
% 1 	Time (sec)
% 2 	Message
1739279824.1484 Setup finished OK=1
1739552437.1140 Mixer order: robobot/cmd/ti/rc 0.250 -0.957 1739552437.1136684
1739552437.1241 Mixer order: robobot/cmd/ti/rc 0.250 -0.939 1739552437.123803
1739552437.1349 Mixer order: robobot/cmd/ti/rc 0.250 -0.942 1739552437.1342108
1739552437.1446 Mixer order: robobot/cmd/ti/rc 0.250 -0.914 1739552437.1441002
1739552437.1545 Mixer order: robobot/cmd/ti/rc 0.250 -0.899 1739552437.1540809
1739552437.1677 Mixer order: robobot/cmd/ti/rc 0.250 -0.887 1739552437.167055
1739552437.1750 Mixer order: robobot/cmd/ti/rc 0.250 -0.859 1739552437.174472
1739552437.1844 Mixer order: robobot/cmd/ti/rc 0.250 -0.849 1739552437.1840487
1739552437.1940 Mixer order: robobot/cmd/ti/rc 0.250 -0.824 1739552437.193727
1739552437.2039 Mixer order: robobot/cmd/ti/rc 0.250 -0.809 1739552437.2034676
1739552437.2140 Mixer order: robobot/cmd/ti/rc 0.250 -0.811 1739552437.2136116
1739552437.2246 Mixer order: robobot/cmd/ti/rc 0.250 -0.798 1739552437.2241771
1739552437.2340 Mixer order: robobot/cmd/ti/rc 0.250 -0.791 1739552437.2336345
1739552437.2440 Mixer order: robobot/cmd/ti/rc 0.250 -0.781 1739552437.2437367
1739552437.2543 Mixer order: robobot/cmd/ti/rc 0.250 -0.778 1739552437.2540295
1739552437.2646 Mixer order: robobot/cmd/ti/rc 0.250 -0.763 1739552437.2642217
1739552437.2739 Mixer order: robobot/cmd/ti/rc 0.250 -0.767 1739552437.2736166
1739552437.2848 Mixer order: robobot/cmd/ti/rc 0.250 -0.765 1739552437.2842627
1739552437.2948 Mixer order: robobot/cmd/ti/rc 0.250 -0.759 1739552437.2943163
1739552437.3050 Mixer order: robobot/cmd/ti/rc 0.250 -0.738 1739552437.3047051
1739552437.3135 Mixer order: robobot/cmd/ti/rc 0.250 -0.733 1739552437.3133206
1739552437.3247 Mixer order: robobot/cmd/ti/rc 0.250 -0.711 1739552437.324282
1739552437.3342 Mixer order: robobot/cmd/ti/rc 0.250 -0.699 1739552437.3338435
1739552437.3441 Mixer order: robobot/cmd/ti/rc 0.250 -0.697 1739552437.3435593
1739552437.3546 Mixer order: robobot/cmd/ti/rc 0.250 -0.687 1739552437.354235
1739552437.3666 Mixer order: robobot/cmd/ti/rc 0.250 -0.668 1739552437.3660522
1739552437.3751 Mixer order: robobot/cmd/ti/rc 0.250 -0.663 1739552437.374131
1739552437.3841 Mixer order: robobot/cmd/ti/rc 0.250 -0.655 1739552437.3835495
1739552437.3948 Mixer order: robobot/cmd/ti/rc 0.250 -0.646 1739552437.394378
1739552437.4046 Mixer order: robobot/cmd/ti/rc 0.250 -1.000 1739552437.4041865
1739552437.4136 Mixer order: robobot/cmd/ti/rc 0.250 -0.844 1739552437.4132895
1739552437.4244 Mixer order: robobot/cmd/ti/rc 0.250 -0.738 1739552437.4239554
1739552437.4335 Mixer order: robobot/cmd/ti/rc 0.250 -0.653 1739552437.4332104
1739552437.4443 Mixer order: robobot/cmd/ti/rc 0.250 -0.580 1739552437.443876
1739552437.4545 Mixer order: robobot/cmd/ti/rc 0.250 -0.544 1739552437.4539611
