% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1739552413.4465 0.212 0.025 0.5439 -3.1142
1739552413.4514 0.212 0.025 0.5455 -3.1147
1739552413.4565 0.213 0.026 0.5487 -3.1149
1739552413.4623 0.213 0.026 0.5519 -3.1146
1739552413.4671 0.213 0.026 0.5550 -3.1137
1739552413.4718 0.214 0.026 0.5566 -3.1131
1739552413.4765 0.214 0.026 0.5598 -3.1128
1739552413.4815 0.215 0.027 0.5614 -3.1127
1739552413.4873 0.215 0.027 0.5645 -3.1124
1739552413.4920 0.215 0.027 0.5645 -3.1120
1739552413.4970 0.216 0.028 0.5677 -3.1116
1739552413.5017 0.216 0.028 0.5693 -3.1115
1739552413.5065 0.217 0.028 0.5741 -3.1110
1739552413.5114 0.217 0.028 0.5756 -3.1106
1739552413.5173 0.217 0.028 0.5788 -3.1102
1739552413.5220 0.217 0.029 0.5820 -3.1102
1739552413.5273 0.218 0.029 0.5852 -3.1110
1739552413.5322 0.218 0.029 0.5883 -3.1116
1739552413.5369 0.219 0.030 0.5915 -3.1125
1739552413.5417 0.219 0.030 0.5931 -3.1127
1739552413.5475 0.220 0.030 0.5963 -3.1125
1739552413.5517 0.220 0.030 0.5978 -3.1120
1739552413.5569 0.221 0.031 0.6010 -3.1115
1739552413.5624 0.221 0.031 0.6042 -3.1110
1739552413.5671 0.222 0.031 0.6058 -3.1109
1739552413.5723 0.222 0.032 0.6074 -3.1109
1739552413.5768 0.222 0.032 0.6089 -3.1107
1739552413.5823 0.223 0.032 0.6121 -3.1101
1739552413.5871 0.223 0.032 0.6137 -3.1099
1739552413.5918 0.224 0.033 0.6169 -3.1099
1739552413.5976 0.224 0.033 0.6169 -3.1101
1739552413.6024 0.224 0.033 0.6200 -3.1102
